,year,edits_NCE,contributors_NCE,edits_CE,contributors_CE,edits_total,controbutors_total,contributors_percentage,contributors_edits
0,2005,30628,50,0.0,0.0,30628.0,50.0,0.0,0.0
1,2006,3817625,410,0.0,0.0,3817625.0,410.0,0.0,0.0
2,2007,188407722,5070,0.0,0.0,188407722.0,5070.0,0.0,0.0
3,2008,114505085,29179,0.0,0.0,114505085.0,29179.0,0.0,0.0
4,2009,304573207,59460,0.0,0.0,304573207.0,59460.0,0.0,0.0
5,2010,130830962,70802,0.0,0.0,130830962.0,70802.0,0.0,0.0
6,2011,136393294,90562,0.0,0.0,136393294.0,90562.0,0.0,0.0
7,2012,157270254,119417,3.0,1.0,157270257.0,119418.0,0.0008373946976167747,1.907544412545851e-06
8,2013,149007130,125288,259.0,2.0,149007389.0,125290.0,0.0015962965919067763,0.00017381688367145337
9,2014,188188517,153802,11462.0,16.0,188199979.0,153818.0,0.010401903548349349,0.006090330116349269
10,2015,170736752,161905,88225.0,175.0,170824977.0,162080.0,0.10797137216189535,0.05164642873038408
11,2016,171428662,260031,54751.0,482.0,171483413.0,260513.0,0.18501955756526547,0.03192786931526725
12,2017,199946683,316406,2484090.0,1990.0,202430773.0,318396.0,0.6250078518574353,1.2271306201058672
13,2018,231022854,306186,5407114.0,1087.0,236429968.0,307273.0,0.353757082464128,2.286983348912859
14,2019,230952990,280513,13513026.0,1469.0,244466016.0,281982.0,0.5209552382776206,5.527568298081972
15,2020,271846063,301325,30742612.0,2666.0,302588675.0,303991.0,0.8769996480158953,10.159868673207944
16,2021,295910442,289893,36200484.0,4428.0,332110926.0,294321.0,1.5044798026644377,10.900118353829768
17,2022,276141696,256766,20880648.0,2969.0,297022344.0,259735.0,1.1430881475349877,7.029992329465962
18,2023,304583851,265427,13483415.0,2370.0,318067266.0,267797.0,0.8849987117107361,4.239170905439858
19,2024,64488916,84911,1997531.0,952.0,66486447.0,85863.0,1.1087429975658898,3.0044183290468207
