,name,t0_corporate,t1_corporate,t0_non_corporate,t1_non_corporate,difference_corporate,difference_non_corporate
0,ARE,4185.16,58250.782608695656,10861.32,58027.434782608696,54065.62260869566,47166.114782608696
1,BHR,1217.6666666666667,4550.217391304348,568.68,426.39130434782606,3332.550724637681,-142.28869565217389
2,BRA,310017.96,100935.95652173914,494291.68,390124.82608695654,-209082.0034782609,-104166.85391304345
3,CHL,59946.44,55304.782608695656,79473.76,32028.260869565216,-4641.657391304347,-47445.49913043478
4,COL,42379.96,84064.47826086957,77345.88,37592.95652173913,41684.51826086957,-39752.92347826088
5,CYP,2205.64,1399.5217391304348,4870.76,13937.260869565218,-806.1182608695651,9066.500869565218
6,DOM,3151.304347826087,2635.391304347826,3123.76,4191.086956521739,-515.913043478261,1067.3269565217388
7,ECU,7808.4,6117.652173913043,13562.24,24361.130434782608,-1690.7478260869566,10798.890434782608
8,GRC,50651.6,48310.95652173913,83769.16,60325.086956521736,-2340.6434782608703,-23444.073043478267
9,IDN,200736.0,382537.04347826086,714777.76,292798.6956521739,181801.04347826086,-421979.0643478261
10,IND,224765.08695652173,252704.39130434784,361451.0,250480.86956521738,27939.30434782611,-110970.13043478262
11,KHM,817.0,3358.0434782608695,8518.16,5428.086956521739,2541.0434782608695,-3090.073043478261
12,KWT,1142.4166666666667,4968.521739130435,7642.04,3993.3478260869565,3826.105072463768,-3648.6921739130435
13,MEX,473036.72,44855.82608695652,101385.84,147085.47826086957,-428180.89391304343,45699.63826086957
14,MLT,141.2,1070.7826086956522,1659.28,2222.1304347826085,929.5826086956522,562.8504347826085
15,MMR,13528.304347826086,3823.608695652174,61831.04,6480.304347826087,-9704.695652173912,-55350.73565217391
16,MUS,278.3529411764706,515.7391304347826,974.4,2809.4347826086955,237.38618925831202,1835.0347826086954
17,MYS,88783.91666666667,26236.304347826088,78899.8,34243.0,-62547.61231884058,-44656.8
18,OMN,1999.3333333333333,1811.4782608695652,3096.4,3815.0,-187.855072463768,718.5999999999999
19,PAK,6425.28,17779.739130434784,20888.96,39923.217391304344,11354.459130434785,19034.257391304345
20,PHL,106451.68,42947.82608695652,325175.8,129953.43478260869,-63503.85391304347,-195222.36521739129
21,QAT,1669.7916666666667,14569.695652173914,1599.08,7783.913043478261,12899.903985507248,6184.833043478261
22,SGP,8313.25,152.95454545454547,16254.68,10027.565217391304,-8160.295454545455,-6227.114782608696
23,TZA,71942.04,131411.08695652173,297886.52,159497.26086956522,59469.046956521735,-138389.2591304348
24,URY,27463.44,2470.4347826086955,6502.88,4319.04347826087,-24993.005217391303,-2183.83652173913
25,VEN,9805.521739130434,2282.304347826087,23336.6,16754.130434782608,-7523.217391304347,-6582.4695652173905
26,VNM,157361.83333333334,12725.565217391304,139935.08,42644.565217391304,-144636.26811594205,-97290.51478260869
27,ZAF,43814.041666666664,13439.173913043478,143765.52,94524.73913043478,-30374.867753623184,-49240.780869565206
