year,corporation,edits,contributors
2023,bolt,56423,39
2024,bolt,2233,13
2019,disputed_by_claimed_by,690,2
2021,disputed_by_claimed_by,2943,2
2022,disputed_by_claimed_by,402,1
2023,disputed_by_claimed_by,1,1
2016,expedia,6257,69
2017,expedia,32936,186
2018,expedia,12458,106
2019,expedia,1664,3
2021,expedia,2001,6
2022,expedia,7519,11
2023,expedia,3353,11
2024,expedia,439,6
2020,gojek,1,1
2022,gojek,1106,8
2023,gojek,436,1
2017,grab,7061,90
2018,grab,200054,150
2019,grab,135818,405
2020,grab,280205,116
2021,grab,206617,316
2022,grab,404180,202
2023,grab,649480,227
2024,grab,63506,81
2014,mapbox,53,1
2015,mapbox,17,2
2016,mapbox,2351,82
2017,mapbox,33984,65
2018,mapbox,5501,22
2019,mapbox,2464,6
2020,mapbox,11448,14
2021,mapbox,5188,10
2022,mapbox,88456,53
2023,mapbox,149300,63
2024,mapbox,11738,24
2017,mbx,118,1
2020,mbx,61235,47
2021,mbx,386654,62
2022,mbx,167328,47
2023,mbx,75610,53
2024,mbx,7022,23
2005,nc,30628,50
2006,nc,3817625,410
2007,nc,188407722,5070
2008,nc,114505085,29179
2009,nc,304573207,59460
2021,Snapp,59,1
2022,Snapp,25,2
2023,Snapp,11,4
2024,Snapp,7,2
2019,TIDBO,37254,5
2014,Telenav,1005,1
2015,Telenav,16119,1
2018,Telenav,27545,19
2019,Telenav,217788,30
2020,Telenav,52761,8
2021,Telenav,130037,17
2022,Telenav,154352,16
2023,Telenav,10904,11
2019,WIGeoGIS-OMV,160,1
2020,WIGeoGIS-OMV,444,1
2021,WIGeoGIS-OMV,217,1
2022,WIGeoGIS-OMV,357,1
2023,WIGeoGIS-OMV,324,1
2012,adt,3,1
2013,adt,2,1
2014,adt,1065,3
2016,adt,35,2
2017,adt,1651,21
2018,adt,1615,26
2019,adt,571,16
2020,adt,14089203,1115
2021,adt,12883680,1149
2022,adt,3906493,571
2023,adt,3533793,456
2024,adt,744965,314
2013,amap,257,1
2014,amap,9339,11
2015,amap,28594,67
2016,amap,38413,291
2017,amap,241558,909
2018,amap,157878,364
2019,amap,281120,414
2020,amap,247946,710
2021,amap,4436696,2142
2022,amap,885897,1299
2023,amap,564225,1089
2024,amap,59139,286
2017,bolt,83,3
2019,bolt,30198,4
2020,bolt,2377,7
2021,bolt,153748,26
2022,bolt,196606,43
2022,AppLogica,5008,2
2021,DigitalEgypt,304433,18
2022,DigitalEgypt,952358,27
2023,DigitalEgypt,836774,24
2024,DigitalEgypt,197344,20
2016,Kaart,2019,28
2017,Kaart,1612437,50
2018,Kaart,2453520,309
2019,Kaart,8288865,446
2020,Kaart,7884640,405
2021,Kaart,5422211,352
2022,Kaart,4553771,145
2023,Kaart,2789832,84
2024,Kaart,467051,57
2020,Komoot,26,1
2021,Komoot,16,2
2022,Komoot,602,2
2023,Komoot,480,3
2024,Komoot,69,4
2018,Kontur,1786,1
2019,Kontur,29,1
2020,Kontur,1399,2
2021,Kontur,2359,2
2022,Kontur,19424,2
2023,Kontur,152,1
2018,Lightcyphers,2648,3
2019,Lightcyphers,42032,8
2020,Lightcyphers,155760,9
2021,Lightcyphers,68,2
2020,MSFTOpenMaps,842962,46
2021,MSFTOpenMaps,786476,41
2022,MSFTOpenMaps,438043,34
2023,MSFTOpenMaps,404954,30
2024,MSFTOpenMaps,150514,14
2019,Neshan,48174,4
2020,Neshan,99486,4
2021,Neshan,35206,4
2022,Neshan,77941,2
2023,Neshan,63334,2
2024,Neshan,14520,1
2020,RocketData,3,1
2021,RocketData,46438,4
2022,RocketData,142002,4
2023,RocketData,178388,2
2024,RocketData,35990,2
2017,Snapp,1,1
2020,Snapp,1,1
2010,nc,130830962,70802
2011,nc,136393294,90562
2012,nc,157270254,119417
2013,nc,149007130,125288
2014,nc,188188517,153802
2015,nc,170736752,161905
2016,nc,171428662,260031
2017,nc,199946683,316406
2018,nc,231022854,306186
2019,nc,230952990,280513
2020,nc,271846063,301325
2021,nc,295910442,289893
2022,nc,276141696,256766
2023,nc,304583851,265427
2024,nc,64488916,84911
2022,stackbox,66,5
2023,stackbox,13475,11
2024,stackbox,133,1
2015,tomtom,43495,105
2016,tomtom,552,9
2017,tomtom,103507,640
2018,tomtom,11300,2
2020,tomtom,17,1
2021,tomtom,574385,102
2022,tomtom,808584,274
2023,tomtom,993351,109
2024,tomtom,156209,49
