,year,edits_NCE,contributors_NCE,edits_CE,contributors_CE,corporate,edits_total,contributors_total,contributors_percentage,contributors_edits
0,2005,30653,50,0.0,0.0,0,30653.0,50.0,0.0,0.0
1,2006,3817776,410,0.0,0.0,0,3817776.0,410.0,0.0,0.0
2,2007,188409659,5070,0.0,0.0,0,188409659.0,5070.0,0.0,0.0
3,2008,114289998,29177,18442.0,1.0,CE,114308440.0,29178.0,0.0034272397011446977,0.01613354184520408
4,2009,302885106,59417,6180.0,3.0,CE,302891286.0,59420.0,0.005048805116122518,0.002040336016797789
5,2010,127327684,70763,71193.0,3.0,CE,127398877.0,70766.0,0.004239323969137721,0.05588196825314245
6,2011,132498526,90505,144523.0,8.0,CE,132643049.0,90513.0,0.008838509385392154,0.1089563313641863
7,2012,151467686,119306,543698.0,11.0,CE,152011384.0,119317.0,0.009219138932423711,0.3576692650860938
8,2013,142238861,125098,1037609.0,16.0,CE,143276470.0,125114.0,0.0127883370366226,0.724200561334321
9,2014,180689409,153500,736059.0,32.0,CE,181425468.0,153532.0,0.020842560508558476,0.405708750879452
10,2015,162043155,161609,1454201.0,208.0,CE,163497356.0,161817.0,0.12854026461991017,0.8894339551276902
11,2016,161391672,259711,2611413.0,532.0,CE,164003085.0,260243.0,0.20442432649485287,1.5922950473767004
12,2017,188578592,315941,4155553.0,2073.0,CE,192734145.0,318014.0,0.6518580942977353,2.1561062778990197
13,2018,213827143,305230,10407082.0,1417.0,CE,224234225.0,306647.0,0.46209485173505693,4.641165727488746
14,2019,203509147,279117,24859165.0,2142.0,CE,228368312.0,281259.0,0.7615756295798535,10.885557975311391
15,2020,238626882,299809,42239743.0,3284.0,CE,280866625.0,303093.0,1.0834958247138669,15.039075219421319
16,2021,260514677,288153,40125909.0,4860.0,CE,300640586.0,293013.0,1.6586294806032496,13.346803747914462
17,2022,245044884,255001,22906071.0,3375.0,CE,267950955.0,258376.0,1.3062358733009256,8.548605844677807
18,2023,275244555,263916,15103909.0,2617.0,CE,290348464.0,266533.0,0.9818671609144083,5.201993767048135
19,2024,177242476,198745,6319696.0,1596.0,CE,183562172.0,200341.0,0.7966417258574131,3.4428095566443826
